"age","workclass","fnlwgt","education_num","marital_status","occupation","relationship","race","sex","capital_gain","capital_loss","hours_per_week","native_country","y"
27," State-gov",249362,10," Married-civ-spouse"," Transport-moving"," Husband"," White"," Male",3411,0,40," United-States"," <=50K"
20," ?",114746,7," Married-spouse-absent"," ?"," Own-child"," Asian-Pac-Islander"," Female",0,1762,40," South"," <=50K"
32," Private",226267,10," Married-civ-spouse"," Adm-clerical"," Husband"," White"," Male",0,0,40," Mexico"," <=50K"
37," Private",161141,11," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,40," Portugal"," >50K"
18," State-gov",59342,7," Never-married"," Adm-clerical"," Own-child"," White"," Female",0,0,5," United-States"," <=50K"
34," Private",136721,9," Divorced"," Exec-managerial"," Not-in-family"," White"," Female",0,0,40," United-States"," <=50K"
26," Private",167350,9," Never-married"," Other-service"," Other-relative"," White"," Male",0,0,30," United-States"," <=50K"
25," ?",202480,12," Never-married"," ?"," Other-relative"," White"," Male",0,0,45," United-States"," <=50K"
35," Private",203628,14," Never-married"," Prof-specialty"," Not-in-family"," White"," Male",0,0,60," United-States"," >50K"
19," Private",475028,9," Never-married"," Sales"," Own-child"," White"," Female",0,0,20," United-States"," <=50K"
21," Private",163870,10," Never-married"," Handlers-cleaners"," Own-child"," White"," Male",0,0,30," United-States"," <=50K"
46," Private",295566,16," Divorced"," Prof-specialty"," Unmarried"," White"," Female",25236,0,65," United-States"," >50K"
44," Private",63042,13," Divorced"," Exec-managerial"," Own-child"," White"," Female",0,0,50," United-States"," >50K"
36," Private",70282,10," Divorced"," Adm-clerical"," Unmarried"," Black"," Female",0,0,40," United-States"," <=50K"
36," Private",271767,13," Separated"," Prof-specialty"," Not-in-family"," White"," Male",0,0,40," ?"," <=50K"
